,feature_name,dfx_feature_importance
0,battery_power,1
9,pc,1
15,touch_screen,1
14,three_g,1
13,talk_time,1
12,sc_w,1
11,ram,1
10,px_height,1
8,n_cores,1
1,blue,1
7,m_dep,1
6,int_memory,1
5,four_g,1
3,dual_sim,1
2,clock_speed,1
16,wifi,1
4,fc,-1
